"Date","Open","High","Low","Close","Shares.Traded","Turnover..Rs..Cr."
"23-Feb-2015",8856.85,8869,8736.1,8754.95,143932325,7171.05
"24-Feb-2015",8772.9,8800.5,8726.75,8762.1,154368611,7413.31
"25-Feb-2015",8801.9,8840.65,8751.4,8767.25,139406599,6986.78
"26-Feb-2015",8779,8786.05,8669.45,8683.85,224185492,10531.16
"27-Feb-2015",8729.5,8856.95,8717.45,8844.6,257226273,11924.49
"28-Feb-2015",8913.05,8941.1,8751.35,8901.85,246453954,10064.41
"02-Mar-2015",8953.85,8972.35,8885.45,8956.75,224772586,11525.5
"03-Mar-2015",8962.85,9008.4,8925.55,8996.25,183251960,9033.61
"04-Mar-2015",9109.15,9119.2,8893.95,8922.65,256060375,12130.98
"05-Mar-2015",8929.4,8957.55,8849.35,8937.75,165081476,8250.55
"09-Mar-2015",8891.15,8891.3,8740.45,8756.75,160332840,8132.43
"10-Mar-2015",8769.75,8778,8677.35,8712.05,168916337,8402.33
"11-Mar-2015",8728.75,8755.6,8682.35,8699.95,178053293,8259.67
"12-Mar-2015",8740.65,8787.2,8732.9,8776,179337979,8184.46
"13-Mar-2015",8844.05,8849.75,8631.75,8647.75,184665971,8121.26
"16-Mar-2015",8656.75,8663.55,8612,8633.15,168438040,7559.94
"17-Mar-2015",8689.1,8742.55,8630.8,8723.3,182504639,8086.26
"18-Mar-2015",8742.9,8747.25,8664,8685.9,161153533,8227.5
"19-Mar-2015",8749.45,8788.2,8614.65,8634.65,168628424,8460.35
"20-Mar-2015",8627.9,8627.9,8553,8570.9,179982752,8484.23
"23-Mar-2015",8591.55,8608.35,8540.55,8550.9,155425780,6195.45
"24-Mar-2015",8537.05,8627.75,8535.85,8542.95,161465466,7913.26
"25-Mar-2015",8568.9,8573.75,8516.55,8530.8,165952155,8200.05
"26-Mar-2015",8474.95,8499.45,8325.35,8342.15,288758332,13667.31
"27-Mar-2015",8396,8413.2,8269.15,8341.4,198979321,9528.86
"30-Mar-2015",8390.95,8504.55,8380.75,8492.3,142061290,6713.2
"31-Mar-2015",8527.6,8550.45,8454.15,8491,177059509,8108.36
"01-Apr-2015",8483.7,8603.4,8464.75,8586.25,136312446,6863.03
"06-Apr-2015",8615.8,8667.55,8573.75,8659.9,150877855,7633
"07-Apr-2015",8684.45,8693.6,8586.85,8660.3,141765381,7287.01
"08-Apr-2015",8698.95,8730.5,8679.8,8714.4,149617725,7889.65
"09-Apr-2015",8756.2,8785.5,8682.45,8778.3,158192905,8391.19
"10-Apr-2015",8774.35,8787.4,8733.6,8780.35,141464357,7119.96
"13-Apr-2015",8801.75,8841.65,8762.1,8834,122833397,6242.71
"15-Apr-2015",8844.75,8844.8,8722.4,8750.2,170458015,8908.26
"16-Apr-2015",8757.05,8760,8645.65,8706.7,149337173,8268.33
"17-Apr-2015",8698.05,8699.85,8596.7,8606,155474164,9134.37
